TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG,MARCH MADNESS,FINAL FOUR,FINALS,WINNER
Siena,2018,11.1,35.8,15.1,4.78,11.1,67.7,0,0,0,0
South Alabama,2018,12.4,36.4,15,5.34,9.41,69.6,0,0,0,0
South Carolina,2018,12.8,37.2,13.8,5.45,12.6,70.1,0,0,0,0
South Carolina State,2018,11,34.1,13.9,5.28,11.4,73.6,0,0,0,0
South Carolina Upstate,2018,14,33.2,11.6,6.09,10.5,75.8,0,0,0,0
South Dakota,2018,13.2,37.7,11.1,6.83,10.3,80.9,0,0,0,0
South Dakota State NCAA,2018,13.3,38.9,10.1,4.91,8.86,84.5,1,0,0,0
South Florida,2018,11.8,33.3,14,5.09,9.66,63.3,0,0,0,0
Southeast Missouri State,2018,13.6,32.4,12.5,5.74,8.81,76,0,0,0,0
Southeastern Louisiana,2018,14.6,34.1,13.8,6.62,10.6,71.7,0,0,0,0
Southern,2018,11.2,38.9,13.2,5.67,13.2,69.1,0,0,0,0
Southern California,2018,15.8,34.8,10.6,6.33,10.3,77.7,0,0,0,0
Southern Illinois,2018,14.1,32.7,12.7,7.52,8.52,69.9,0,0,0,0
SIU Edwardsville,2018,12.4,34.1,13.6,4.8,10.8,69.7,0,0,0,0
Southern Methodist,2018,14.4,33.6,11.6,7.39,11.1,69.5,0,0,0,0
Southern Mississippi,2018,14.7,30.4,9.79,6.97,7.47,70.6,0,0,0,0
Southern Utah,2018,11.7,33.9,12.8,5.19,8.5,75.5,0,0,0,0
St. Bonaventure NCAA,2018,13.9,35.5,11.5,7.03,10.1,77.1,1,0,0,0
St. Francis (NY),2018,11.5,33.7,12.6,7.26,10.6,72.9,0,0,0,0
St. John's (NY),2018,12.8,33.6,11.9,8.55,8.73,73.1,0,0,0,0
Stanford,2018,13.4,39.1,15,5.23,11.3,75.9,0,0,0,0
Stephen F. Austin NCAA,2018,14.2,35.7,15.4,10.3,11.5,80.5,1,0,0,0
Stetson,2018,14.7,34.3,10.9,7.13,9.16,75.4,0,0,0,0
Stony Brook,2018,13.3,36,14,8.16,11.5,68.9,0,0,0,0
Syracuse NCAA,2018,10.7,37.2,12.4,6.97,11.9,66.6,1,0,0,0
TCU NCAA,2018,18.6,36.4,12.7,6.48,11.2,82.1,1,0,0,0
Temple,2018,12.8,33.9,10.8,6.67,10.2,69.9,0,0,0,0
Tennessee NCAA,2018,15.7,36.1,12.1,6.34,11.5,73.8,1,0,0,0
Tennessee State,2018,10.9,33,14.7,7.1,8.7,66.6,0,0,0,0
Tennessee Tech,2018,14.3,35.6,14.3,7.64,10.2,73.1,0,0,0,0
Tennessee-Martin,2018,12.6,35,14.5,6.9,9.94,68.9,0,0,0,0
Texas NCAA,2018,11.6,35.8,11.7,6.15,10.6,72.1,1,0,0,0
Texas A&M NCAA,2018,15.4,41.4,13.6,5.43,12.3,75.2,1,0,0,0
Texas A&M-Corpus Christi,2018,11.1,34.7,15.9,6.79,10.1,67.7,0,0,0,0
Texas Southern NCAA,2018,12.2,36.1,12.6,5.75,10.3,77.4,1,0,0,0
Texas State,2018,13.6,34.7,13.4,5.42,11,66.4,0,0,0,0
Texas Tech NCAA,2018,14.3,36,12.3,7.08,11,74.6,1,0,0,0
Texas-Rio Grande Valley,2018,15.1,37.6,13.5,7.67,11.6,75.5,0,0,0,0
The Citadel,2018,16.5,37,14.9,9.41,11.8,82.5,0,0,0,0
Toledo,2018,15.5,36.9,11.6,3.74,9.38,79,0,0,0,0
Towson,2018,11.9,38.1,12.7,6.53,12.4,76.4,0,0,0,0
Troy,2018,13.2,36.2,12.4,5,9.67,75,0,0,0,0
Tulane,2018,15.6,34.5,13.2,5.03,9.55,73.2,0,0,0,0
Tulsa,2018,12.6,38,12.9,4.48,11.2,73.5,0,0,0,0
UAB,2018,17,38,13.2,5.39,10.1,76.8,0,0,0,0
UC Davis,2018,12.4,32.2,12.9,7.06,8.09,72.4,0,0,0,0
UC Irvine,2018,12.3,41.2,13.9,5.09,12,69.7,0,0,0,0
UC Riverside,2018,12.5,35.1,13.8,6.13,10,65.3,0,0,0,0
UC Santa Barbara,2018,15,36.8,10.5,4.81,10.2,75.8,0,0,0,0
UCLA NCAA,2018,15,38.9,12.1,5.58,10.2,81.2,0,0,0,0
UNC Asheville,2018,15.4,33.9,13.8,7.41,8.24,75.2,0,0,0,0
UNC Greensboro NCAA,2018,13.9,37.3,13.7,7.63,11.9,73.2,1,0,0,0
UNC Wilmington,2018,15.3,40.9,12.9,5.13,14,79.4,0,0,0,0
UT Arlington,2018,16,39.2,14.9,6.74,11.1,77.6,0,0,0,0
Utah,2018,15.2,33.5,11.8,5.14,7.66,73.5,0,0,0,0
Utah State,2018,13.9,33.3,13,5,8.53,73.2,0,0,0,0
Utah Valley,2018,16.1,38.1,13.9,5.97,10.4,78.1,0,0,0,0
UTEP,2018,10.6,33.4,12.3,4.16,7,67.5,0,0,0,0
UTSA,2018,14.1,39.8,12.6,6.23,10.9,78.3,0,0,0,0
Valparaiso,2018,12.5,34.8,14.7,7.34,9.19,70.4,0,0,0,0
Vanderbilt,2018,12.3,33.8,11.8,4.81,9.75,72.4,0,0,0,0
Vermont,2018,13.4,33.1,11.1,3.83,7.66,73.9,0,0,0,0
Villanova NCAA,2018,16.4,35.9,10.7,6.47,9.63,86.6,1,1,1,1
Virginia NCAA,2018,13.5,32.3,8.53,6.82,8.29,67.1,1,0,0,0
Virginia Commonwealth,2018,15.5,36.5,13.5,6.36,10.4,76,0,0,0,0
VMI,2018,11.9,34.3,14.7,7.37,9.53,65.1,0,0,0,0
Virginia Tech NCAA,2018,16.4,32.7,12,5.79,7.45,79.8,1,0,0,0
Wagner,2018,13.3,39.1,13.7,6.61,13.5,74.2,0,0,0,0
Wake Forest,2018,13.9,35.7,13.1,5.84,10.9,73.3,0,0,0,0
Washington,2018,11.7,32.8,13.3,8.06,9.65,74.6,0,0,0,0
Washington State,2018,14.5,32.5,13.6,5.29,8.32,73.2,0,0,0,0
Weber State,2018,13.9,33.5,11.9,5.19,5.87,78.5,0,0,0,0
West Virginia NCAA,2018,15.2,37.9,11.4,8.14,14.1,80.1,1,0,0,0
Western Carolina,2018,13.3,34.4,14.9,7.94,11.6,68.4,0,0,0,0
Western Illinois,2018,11,35.4,12.5,4.86,7.04,71.9,0,0,0,0
Western Kentucky,2018,13.6,35.7,11.6,7.13,9.71,78.4,0,0,0,0
Western Michigan,2018,12.7,35.3,10.7,6.53,11.1,75.1,0,0,0,0
Wichita State NCAA,2018,18.5,40.5,11.7,4.67,12.3,82.8,1,0,0,0
William & Mary,2018,17.7,32.9,12.3,5.61,6.74,85,0,0,0,0
Winthrop,2018,14.7,36.3,13.8,6.81,9.13,79.5,0,0,0,0
Wisconsin,2018,12.5,30.6,10.7,5.45,9.06,66.8,0,0,0,0
Wofford,2018,15.4,32.3,12.1,6.47,8,75.8,0,0,0,0
Wright State NCAA,2018,13.1,36.2,13.1,6.6,10.2,71.4,1,0,0,0
Wyoming,2018,15.7,34.8,13.6,6.52,7,79.8,0,0,0,0
Xavier NCAA,2018,16.5,38.3,12.6,5.86,9.86,84.4,1,0,0,0
Yale,2018,16.4,33.9,13.1,6.58,8.87,74.6,0,0,0,0
Youngstown State,2018,13.9,36.2,14.4,8.31,14.3,75.3,0,0,0,0
Abilene Christian NCAA,2019,15.4,0.38,12,8.74,9.56,73.6,1,0,0,0
Air Force,2019,13.6,0.329,13.2,4.81,7.91,68.1,0,0,0,0
Akron,2019,12.1,0.32,11.8,5.61,9.45,68.8,0,0,0,0
Alabama,2019,12.3,0.34,13.7,4.62,11.3,72,0,0,0,0
Alabama A&M,2019,12,0.315,15.2,7.31,9.81,60.6,0,0,0,0
Alabama State,2019,10.1,0.321,14.5,6.55,11.8,67.3,0,0,0,0
Albany (NY),2019,12.6,0.347,14.2,6.09,9.19,67.2,0,0,0,0
Alcorn State,2019,12.6,0.327,15.9,7.39,10.8,64.4,0,0,0,0
American,2019,13.4,0.325,12.9,7.37,8.37,72,0,0,0,0
Appalachian State,2019,12.7,0.359,13.1,5.34,9.69,79.9,0,0,0,0
Arizona,2019,12.4,0.336,11.6,5.16,10.1,70.9,0,0,0,0
Arizona State NCAA,2019,13.5,0.336,13.7,6.26,11.7,77.6,1,0,0,0
Arkansas,2019,16,0.345,13.2,8.12,10.1,75.3,0,0,0,0
Arkansas State,2019,11.3,0.334,14,5.72,12.6,73.7,0,0,0,0
Arkansas-Pine Bluff,2019,11.4,0.338,14.9,6.75,9.91,65.9,0,0,0,0
Army,2019,15.6,0.315,11.8,6.19,8.09,70.9,0,0,0,0
Auburn NCAA,2019,14.3,0.377,11.7,9.22,11.4,79.7,1,1,0,0
Austin Peay,2019,13.8,0.382,11.9,7.64,12,82.2,0,0,0,0
Ball State,2019,12.9,0.325,14.5,6.58,9.33,75.1,0,0,0,0
Baylor NCAA,2019,13.9,0.341,13.1,6.15,13.2,71.8,1,0,0,0
Belmont NCAA,2019,19.5,0.372,11.4,6.67,8.67,86.9,1,0,0,0
Bethune-Cookman,2019,14.3,0.321,16.2,7.55,13.4,73.9,0,0,0,0
Binghamton,2019,9.82,0.349,12.4,5.55,7.39,65.2,0,0,0,0
Boise State,2019,12.1,0.352,11.5,6.06,7.33,71.6,0,0,0,0
Boston College,2019,12.3,0.317,12.2,5.13,10.7,70.8,0,0,0,0
Boston University,2019,13.5,0.346,12.9,6.03,9.42,72.3,0,0,0,0
Bowling Green State,2019,12.6,0.357,12.1,6.68,12,78.5,0,0,0,0
Bradley NCAA,2019,12.1,0.368,12.6,5.31,8.94,66.5,1,0,0,0
Brigham Young,2019,15.1,0.33,11.1,6.34,8.22,79,0,0,0,0
Brown,2019,13.1,0.342,14.3,7.53,8.16,73.6,0,0,0,0
Bryant,2019,10.6,0.325,12.8,5.27,9.5,69.6,0,0,0,0
Bucknell,2019,15.7,0.351,12.4,5.24,8.67,76.8,0,0,0,0
Buffalo NCAA,2019,16.6,0.337,12,7.31,12.6,84.4,1,0,0,0
Butler,2019,13.2,0.353,10.9,5.85,8.73,71.9,0,0,0,0
Cal Poly,2019,10.4,0.328,11.5,5.07,9.79,66.6,0,0,0,0
Cal State Bakersfield,2019,11.1,0.324,12.9,6.41,14.3,70.9,0,0,0,0
Cal State Fullerton,2019,12,0.317,13.2,5.88,8.15,71.7,0,0,0,0
Cal State Northridge,2019,15.1,0.361,12.1,6.62,10.4,76.5,0,0,0,0
California,2019,10.9,0.35,11.4,7.32,8.03,68.4,0,0,0,0
California Baptist,2019,11.1,0.359,12.2,4.77,9.87,77.5,0,0,0,0
Campbell,2019,14.6,0.343,10.2,6.61,8.06,75.6,0,0,0,0
Canisius,2019,14.6,0.324,12.9,6.38,9.38,70.3,0,0,0,0
Central Arkansas,2019,14,0.352,14.5,6.12,9.06,72.2,0,0,0,0
Central Connecticut State,2019,11.4,0.328,13.8,5.55,10.7,71.1,0,0,0,0
Central Florida NCAA,2019,13.3,0.365,11.9,5.73,9.55,72.3,1,0,0,0
Central Michigan,2019,13.3,0.371,12.1,7.63,12,82.7,0,0,0,0
Charleston Southern,2019,14.3,0.343,13,7.74,12,75.7,0,0,0,0
Charlotte,2019,9.93,0.311,14.4,4.76,6.86,61.2,0,0,0,0
Chattanooga,2019,13.1,0.365,12.8,4.34,8.69,70.9,0,0,0,0
Chicago State,2019,11.8,0.299,16,6.03,7.88,61.6,0,0,0,0
Cincinnati NCAA,2019,13.3,0.345,10.4,6.11,12.6,71.7,1,0,0,0
Clemson,2019,12.1,0.328,13.2,6.56,9.09,68.8,0,0,0,0
Cleveland State,2019,14.8,0.37,13.3,5.61,9.77,74.2,0,0,0,0
Coastal Carolina,2019,13.3,0.371,13.9,6.29,11.1,77.7,0,0,0,0
Colgate NCAA,2019,15.5,0.393,13,6.09,9.2,75.7,1,0,0,0
College of Charleston,2019,11.7,0.34,10.5,6.55,7.88,74.3,0,0,0,0
Colorado,2019,13.3,0.323,13.3,5.03,10.1,73.6,0,0,0,0
Colorado State,2019,14.8,0.359,11.6,6.22,8,74.8,0,0,0,0
Columbia,2019,15.8,0.362,13.1,7.79,9.11,73.5,0,0,0,0
Connecticut,2019,12.8,0.344,12.9,6.06,11.5,73.8,0,0,0,0
Coppin State,2019,9.88,0.285,16.8,5.12,9.52,64.2,0,0,0,0
Cornell,2019,14.6,0.332,13.4,5.84,6.16,69.3,0,0,0,0
Creighton,2019,16,0.387,13.3,6.77,8.23,77.9,0,0,0,0
Dartmouth,2019,14.2,0.366,12,5.27,8.2,72,0,0,0,0
Davidson,2019,14.7,0.354,11.1,5.15,7.76,70.9,0,0,0,0
Dayton,2019,16.4,0.332,12.5,4.97,7.91,72.9,0,0,0,0
Delaware,2019,12.9,0.378,11.5,4.52,7.7,71.3,0,0,0,0
Delaware State,2019,10.7,0.297,14,6.9,12.2,63.1,0,0,0,0
Denver,2019,11.8,0.365,13.6,4.73,9.17,69.5,0,0,0,0
DePaul,2019,14.3,0.343,13.6,6.31,11,78.4,0,0,0,0
Detroit Mercy,2019,10.3,0.356,11.5,7.68,10.8,73.5,0,0,0,0
Drake,2019,15.2,0.361,13.2,5.29,8.21,75.4,0,0,0,0
Drexel,2019,14.5,0.354,11.8,4.5,9.75,75.8,0,0,0,0
Duke NCAA,2019,15.9,0.308,12.8,9.11,13,82.7,1,0,0,0
Duquesne,2019,13.8,0.322,14.1,7.81,11.8,73.5,0,0,0,0
East Carolina,2019,12.3,0.284,13.4,7.23,10.2,67.4,0,0,0,0
East Tennessee State,2019,15.7,0.361,14.2,7.41,13,79.6,0,0,0,0
Eastern Illinois,2019,13.6,0.37,13.3,6.25,10.8,71.8,0,0,0,0
Eastern Kentucky,2019,14.8,0.327,14.4,10.2,11.7,82.6,0,0,0,0
Eastern Michigan,2019,11.5,0.295,13.8,7.41,12.5,68.8,0,0,0,0
Eastern Washington,2019,13.7,0.35,11.8,5.88,8.79,72.4,0,0,0,0
Elon,2019,14.6,0.355,12.9,4.22,8.28,70.8,0,0,0,0
Evansville,2019,12.3,0.34,13,5.78,6.72,69.8,0,0,0,0
Fairfield,2019,12.9,0.35,14.1,6.52,8.81,66.8,0,0,0,0
Fairleigh Dickinson NCAA,2019,13.9,0.4,13.6,7.46,9.23,74.9,1,0,0,0
Florida NCAA,2019,12.1,0.334,11.7,7.14,10.4,67.8,1,0,0,0
Florida A&M,2019,11.5,0.368,16.1,7.29,9.29,62.2,0,0,0,0
Florida Atlantic,2019,12.7,0.324,14.7,5.58,11.1,70.4,0,0,0,0
Florida Gulf Coast,2019,14,0.372,15,6.84,8.5,71.3,0,0,0,0
Florida International,2019,14.4,0.302,14,10.6,10.8,82.3,0,0,0,0
Florida State NCAA,2019,12.8,0.332,13.3,7.19,11.3,74.9,1,0,0,0
Fordham,2019,11.3,0.332,10.8,5.88,9.53,65.9,0,0,0,0
Fresno State,2019,14.3,0.381,12.5,7.13,9.38,76.5,0,0,0,0
Furman,2019,15.9,0.361,12.3,8.73,9.88,77.6,0,0,0,0
Gardner-Webb NCAA,2019,14.3,0.391,11.6,6.8,7.74,77.7,1,0,0,0
George Mason,2019,12.1,0.33,13,6.18,9.79,70.1,0,0,0,0
George Washington,2019,11.4,0.311,12.5,5.15,8.3,63.5,0,0,0,0
Georgetown,2019,16.4,0.355,13.4,6,10.6,79.5,0,0,0,0
Georgia,2019,13.2,0.322,15.8,5.78,11.2,71.1,0,0,0,0
Georgia Southern,2019,12.2,0.323,13.7,7.73,9.7,82.6,0,0,0,0
Georgia State NCAA,2019,12.2,0.384,11.5,7.91,8.03,76.4,1,0,0,0
Georgia Tech,2019,13.5,0.307,14.3,6.91,8.19,65.3,0,0,0,0
Gonzaga NCAA,2019,18.1,0.363,10.6,7.51,9.57,87.6,1,0,0,0
Grambling,2019,12.4,0.403,15.8,5.68,9.03,71.4,0,0,0,0
Grand Canyon,2019,14.1,0.331,12.1,6.09,10.3,75.3,0,0,0,0
Green Bay,2019,15.2,0.345,13.2,7.66,9.89,81.3,0,0,0,0
Hampton,2019,13.9,0.345,10.8,6.14,10.4,81.3,0,0,0,0
Hartford,2019,14,0.381,12.2,6.91,8.42,75.1,0,0,0,0
Harvard,2019,11.9,0.36,15.8,5.61,9.29,71.7,0,0,0,0
Hawaii,2019,15.4,0.354,11.9,5.03,8.97,72.3,0,0,0,0
High Point,2019,13,0.309,13.1,5.48,11.7,68.2,0,0,0,0
Hofstra,2019,14.1,0.385,9.77,6.51,8.71,83.4,0,0,0,0
Holy Cross,2019,15.5,0.354,10.6,7.3,6.67,67.2,0,0,0,0
Houston NCAA,2019,14.8,0.355,11.1,6.49,12.1,75.3,1,0,0,0
Houston Christian,2019,15,0.34,14.7,7.8,13.6,82.2,0,0,0,0
Howard,2019,13.6,0.365,12.6,5.82,11.6,78.9,0,0,0,0
Idaho,2019,12.5,0.37,13.5,4.06,8.06,67.9,0,0,0,0
Idaho State,2019,12.8,0.364,12,5.13,9.17,73.3,0,0,0,0
Illinois,2019,13.5,0.345,13.2,7.42,10.6,72.7,0,0,0,0
Illinois State,2019,12.8,0.332,12.6,4.91,9.03,68.4,0,0,0,0
Illinois-Chicago,2019,14.9,0.354,14.3,6.56,8.47,74.7,0,0,0,0
Incarnate Word,2019,11.4,0.343,16.3,5.94,6.58,65.9,0,0,0,0
Indiana,2019,13.4,0.312,12.4,6.46,9.74,71.5,0,0,0,0
Indiana State,2019,11,0.363,13,6.68,8.06,69.2,0,0,0,0
Iona NCAA,2019,13.1,0.351,12.3,6.76,8.58,76.7,1,0,0,0
Iowa NCAA,2019,15.5,0.364,12.2,6.03,10.2,78.3,1,0,0,0
Iowa State NCAA,2019,15.1,0.363,10.8,7.06,9.34,76.9,1,0,0,0
IUPUI,2019,14.3,0.337,14,6.91,12.2,76,0,0,0,0
Jackson State,2019,11.2,0.28,13.6,6.53,10.3,61.7,0,0,0,0
Jacksonville,2019,14.3,0.33,14.5,6.66,10.3,74.5,0,0,0,0
Jacksonville State,2019,13.7,0.315,13.3,7.42,12.1,78,0,0,0,0
James Madison,2019,12.2,0.363,12.7,6.39,10.5,70.4,0,0,0,0
Kansas NCAA,2019,13.3,0.35,13.1,6.75,10.4,75.7,1,0,0,0
Kansas City,2019,11,0.356,12.2,7.28,8.16,69.4,0,0,0,0
Kansas State NCAA,2019,13.6,0.334,11.3,7.53,9.56,65.8,1,0,0,0
Kennesaw State,2019,11.3,0.311,13.7,5.78,11.6,63.4,0,0,0,0
Kent State,2019,13,0.337,11.5,6.85,12.5,75.2,0,0,0,0
Kentucky NCAA,2019,13.5,0.354,12.6,5.95,11.5,75.8,1,0,0,0
La Salle,2019,12.6,0.331,14,7.42,10.6,67.5,0,0,0,0
Lafayette,2019,14,0.38,13.4,5.27,7.77,73.6,0,0,0,0
Lamar,2019,14.6,0.343,14.3,8.58,13.5,78.7,0,0,0,0
Lehigh,2019,15.2,0.423,13.5,5.52,7.48,80,0,0,0,0
Liberty NCAA,2019,14.8,0.369,11,6.19,7.5,73.7,1,0,0,0
Lipscomb,2019,17.7,0.373,13.2,7.24,8.89,83.1,0,0,0,0
Little Rock,2019,14.3,0.354,16.2,5.45,7.87,74.2,0,0,0,0
Long Beach State,2019,11.7,0.344,14.1,6.44,11.1,74.9,0,0,0,0
Long Island University,2019,13.4,0.341,14.7,6.81,10,74.2,0,0,0,0
Longwood,2019,11.8,0.355,14,6.18,8.35,70.8,0,0,0,0
Louisiana,2019,15.2,0.345,13.2,7.06,11.4,81.6,0,0,0,0
Louisiana State NCAA,2019,12.9,0.319,12.9,8.8,13.1,80.4,1,0,0,0
Louisiana Tech,2019,13.3,0.335,11.7,5.76,11.2,72.3,0,0,0,0
Louisiana-Monroe,2019,14.2,0.396,11.4,5.89,9.06,79.2,0,0,0,0
Louisville NCAA,2019,13.5,0.342,12.1,4.38,10.1,74.6,1,0,0,0
Loyola (IL),2019,13.8,0.366,12,6.47,5.59,65.6,0,0,0,0
Loyola (MD),2019,14,0.341,13.9,8.69,9.13,72.9,0,0,0,0
Loyola Marymount,2019,13.5,0.32,12.5,7.35,9.24,67,0,0,0,0
Maine,2019,14.7,0.311,14.4,7.47,8.75,62.1,0,0,0,0
Manhattan,2019,11.3,0.331,15.2,6.91,10.2,57.3,0,0,0,0
Marist,2019,12.2,0.363,12.5,5.55,7.77,67.3,0,0,0,0
Marquette NCAA,2019,13.4,0.388,13.7,4.94,9.74,77.3,1,0,0,0
Marshall,2019,14.2,0.342,12.2,9.03,8.62,80.5,0,0,0,0
Maryland NCAA,2019,13.1,0.349,12.9,4.35,11.1,71.4,1,0,0,0
Maryland-Baltimore County,2019,13.3,0.323,12.6,7.88,8.71,67.5,0,0,0,0
Maryland-Eastern Shore,2019,11.3,0.282,13.5,5.81,8.25,57.3,0,0,0,0
Massachusetts,2019,14.6,0.35,13.9,4.81,10.7,70.7,0,0,0,0
Massachusetts-Lowell,2019,15.6,0.341,14,5.66,9.16,76.8,0,0,0,0
McNeese State,2019,13.8,0.307,14.5,4.74,10,69.3,0,0,0,0
Memphis,2019,15.4,0.322,14.9,8,12.1,80.1,0,0,0,0
Mercer,2019,12.7,0.344,13.1,6.68,9.9,72.5,0,0,0,0
Miami (FL),2019,12.9,0.333,11.6,6.63,9.09,71.8,0,0,0,0
Miami (OH),2019,10.9,0.323,12.9,6.06,11,70.8,0,0,0,0
Michigan NCAA,2019,13.8,0.342,9.03,6.08,8.08,69.6,1,0,0,0
Michigan State NCAA,2019,18.3,0.378,12.6,5.15,10.6,77.6,1,1,0,0
Middle Tennessee,2019,11,0.326,16,5.94,11.9,66.9,0,0,0,0
Milwaukee,2019,11.5,0.342,12.3,4.68,9.29,69.2,0,0,0,0
